title,city,phone,website,reviews,rating,audit_status,audit_error,audit_body_len,audit_fbq_pixel,audit_gtag,audit_analytics_js,audit_schema_org,audit_local_business_schema,audit_lead_form,audit_whatsapp,audit_view_port_meta,score,reasons
Zumba Certification course,Chandigarh,,http://leafzumba.com/,11,5,200,,15960,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
THE WELLNESS QUEEN,Sahibzada Ajit Singh Nagar,+91 70781 00017,https://www.thewellnesqueen.com/,11,5,200,,149978,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Kudrat Dance & Fitness Squad Zirakpur,"Zirakpur, Gazipur",+91 90560 07823,https://www.kudratclub.in/,9,5,200,,149944,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
The Reset Space,Chandigarh,+91 98771 13277,http://theresetspace.in/,6,5,200,,19758,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Legacy Tiny Warriors Playway & Activity Club for Kids | Club 72 Gym,Sahibzada Ajit Singh Nagar,+91 82888 40777,https://www.club72gym.com/,4,4.8,200,,149978,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Olive The Wellness Spa,"Nabha, Zirakpur",,https://www.olivethewellnessspa.com/,3,5,200,,93981,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
M AND A INNOVATIVES PVT.LTD.,Sahibzada Ajit Singh Nagar,,https://www.m-ainnovatives.com/,2,5,200,,149860,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Roots Development League,Sahibzada Ajit Singh Nagar,,https://www.mivranfootballschool.com/tournaments,1,5,200,,49593,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Yogasth,Sahibzada Ajit Singh Nagar,+91 89688 36963,http://www.yogasth.com/,1,5,200,,75157,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Olive The Wellness Spa,"Chandigarh, Zirakpur",,https://www.olivethewellnessspa.com/,1,5,200,,93981,False,False,False,False,False,False,True,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Hands Wellness Services,Sahibzada Ajit Singh Nagar,+91 98781 25469,http://hands.life/,,,200,,133246,False,False,False,False,False,False,False,True,5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | no_local_schema(+1)
Vinyasa Yoga Studio,Sahibzada Ajit Singh Nagar,+91 75970 48895,https://www.vinyoga.in/,89,4.9,500,http_500,,,,,,,,,,4.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | established_89(+0.5) | site_down_500(-2)
Yog Amore,"Chandigarh, Kansal",,http://www.yogamoreshala.com/,85,5,200,,150000,False,False,True,False,False,False,False,True,4.5,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_85(+0.5)
Emerald Martial Arts,Panchkula,+91 94174 06261,http://emeraldmartialarts.com/,82,4.8,200,,149977,False,False,False,True,False,False,False,True,4.5,NO_TRACKING(+2) | no_form(+1) | no_local_schema(+1) | established_82(+0.5)
Advait Yog Siddhant,,+91 88941 98130,http://www.advaityogsiddhant.com/,81,4.9,200,,122265,False,False,False,False,False,True,True,True,4.5,NO_TRACKING(+2) | no_schema(+1) | no_local_schema(+1) | established_81(+0.5)
Ajay Health & Wellness Center | Weight Loss & Fitness Club,Chandigarh,+91 98886 99760,https://sites.google.com/view/ajaywellnesscenter/home,78,5,200,,149979,False,True,True,False,False,False,True,True,4.5,partial_tracking(+1) | no_schema(+1) | no_form(+1) | no_local_schema(+1) | established_78(+0.5)
Krishnamacharya Ashtanga Viniyoga,Chandigarh,+91 78892 81286,http://www.kavyoga.com/,78,5,200,,130930,False,False,False,False,False,True,True,True,4.5,NO_TRACKING(+2) | no_schema(+1) | no_local_schema(+1) | established_78(+0.5)
Aarogya Sadan,Chandigarh,+91 98883 38575,http://www.aarogyasadan.com/,78,4.8,200,,37703,False,False,True,True,False,False,False,False,4.5,partial_tracking(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | established_78(+0.5)
Yes maxx gym,Panchkula,+91 78886 84289,https://www.linkedin.com/in/shivani-chauhan-5a474b324,78,4.7,999,http_999,,,,,,,,,,4.5,NO_TRACKING(+2) | no_schema(+1) | no_form(+1) | not_responsive(+1) | no_local_schema(+1) | established_78(+0.5) | site_down_999(-2)
