title,category,city,postal,state,address,phone,website,rating,reviews,claimed,categories,placeId,lat,lng,imagesCount,_reason
Training in Tricity - Personal Women Trainer - Zumba - Aerobics - yoga - various dance forms - wedding choerography,Women's personal trainer,Chandigarh,160047,Chandigarh,"45D, Sector 45, Chandigarh, 160047, India",+91 98887 78677,https://fitwithjyoti.carrd.co/,4.9,30,False,"[""Women's personal trainer"", 'Physical fitness program', 'Weight loss service']",ChIJ1axhBuW2SIgRKnDz3wWYlvQ,30.706559,76.7545961,85,secondary_cat
Yogic Amritdhara,Yoga studio,Chandigarh,160043,Chandigarh,"SCO 252 Ground Floor, 44C, Chandigarh, 160043, India",+91 63978 30974,,5,37,False,"['Yoga studio', 'Yoga retreat center', 'Yoga instructor']",ChIJ9ZnR36rtDzkRAqNkKAMLFe0,30.7127103,76.7521407,8,primary_cat
Sambhav Yog,Yoga studio,Chandigarh,160014,Chandigarh,"1528, Sector 38 B Rd, Sector 38B, Sector 38, Chandigarh, 160014, India",+91 88007 88118,,5,23,False,['Yoga studio'],ChIJb9Xew-HtDzkRfKGtU9d_CQ8,30.7441778,76.7500597,24,primary_cat
Sthir Yoga & Wellness,Yoga studio,Chandigarh,160036,Chandigarh,"House no. 202, First Floor, Sector 37A, Sector 37, Chandigarh, 160036, India",+91 98174 27323,,5,9,False,['Yoga studio'],ChIJKWk5k7XtDzkRlkDgcwuPh-k,30.7406668,76.7502424,38,primary_cat
Plexus Yoga | Home Classes,Yoga studio,Chandigarh,160023,Chandigarh,"kala Kendra, Plot number 31, Sector 24C, Sector 24, Chandigarh, 160023, India",,https://www.plexusyoga.in/,5,2,False,['Yoga studio'],ChIJ_fbleuDtDzkRDnLiwN2n_Xc,30.7444968,76.7610278,66,primary_cat
TheDetoxYoga,Yoga studio,Chandigarh,160022,Chandigarh,"35B, Sector 35, Chandigarh, 160022, India",,https://thedetoxyoga.com/,,,False,['Yoga studio'],ChIJ0RKTXALtDzkRyCyIjsMMYWY,30.7242285,76.7649521,22,primary_cat
Kalyankari Yoga Studio,Yoga studio,Chandigarh,160022,Chandigarh,"1562, 34D, Sector 34, Chandigarh, 160022, India",+91 6284 684 772,https://kalyankariyogastudio.com/,4.9,33,False,"['Yoga studio', 'Counselor', 'Meditation center', 'Physical therapy clinic', 'Psychologist']",ChIJqUOPLN7tDzkRUFXo74wZz7c,30.718973,76.759988,41,primary_cat
Yin aerial Yoga,Fitness center,Chandigarh,160022,Chandigarh,"Sco 369- 370 Second Floor, above Au Small Finance Bank, 35B, Chandigarh, 160022, India",,,4.6,17,False,['Fitness center'],ChIJ_UVEVpHtDzkRIqnKeVClVjQ,30.7238013,76.7633787,26,primary_cat
PH WELLNESS & FITTNESS CENTRE,Health consultant,Chandigarh,160043,Chandigarh,"H, 2307, opposite First Baptist Church, 44C, Sector 44, Chandigarh, 160043, India",+91 83174 91324,https://www.instagram.com/fitnesscoachpunam?igsh=MXhnbG03bHp6NjUzbA%3D%3D&utm_source=qr,4.9,89,False,"['Health consultant', 'Fitness center', 'Weight loss service']",ChIJTdZhItntDzkRe-VfejBhaMw,30.7097973,76.7516081,72,secondary_cat
Legacee Gyms & Spa,Fitness center,Chandigarh,160022,Chandigarh,"4th Floor, SCO 23-24-25, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 97800 34111,https://legacee-gyms-spa-gym.grexa.site/,4.7,275,False,"['Fitness center', 'Athletic club', 'Gym', 'Gymnastics club', 'Personal trainer', 'Physical fitness program', 'Sports club', 'Training center', 'Weight loss service', 'Weightlifting area']",ChIJReQ43pPtDzkRr9H3PIM99jM,30.7242331,76.7693418,105,primary_cat
Oxizone Fitness & Spa,Gym,Chandigarh,160014,Chandigarh,"Sco 321, Sector 38-D, Sector 38, Chandigarh, 160014, India",+91 90410 33777,https://www.oxizonefitness.com/,4.4,707,False,"['Gym', 'Aerobics instructor', 'Body shaping class', 'Fitness center', 'Weight loss service', 'Weightlifting area', ""Women's personal trainer"", 'Yoga studio']",ChIJw3q4uuXtDzkRtYFysKSlP8o,30.7463655,76.7431102,389,primary_cat
Fitness sports 369,Fitness center,Chandigarh,160047,Chandigarh,"no 2278, 1, Sector 45C, Sector 45, Chandigarh, 160047, India",+91 97793 77778,,5,6,False,['Fitness center'],ChIJvZ6Cmy_tDzkRNGDwXDVRxgY,30.7045199,76.7559816,145,primary_cat
Rjfitness,Personal trainer,Chandigarh,160047,Chandigarh,"3114, Sector 45D, 45D, Sector 45, Chandigarh, 160047, India",+91 82645 06198,,5,25,False,['Personal trainer'],ChIJYzx1oCztDzkRMmiuGEHn-4o,30.7048215,76.7541979,32,primary_cat
Workout with Sim,Fitness center,Chandigarh,160036,Chandigarh,"near Vivek High School, Sector 38A, Sector 38, Chandigarh, 160036, India",+91 96469 96043,,5,7,False,['Fitness center'],ChIJqWqjQEDtDzkRVran8OqamgY,30.7453766,76.7480854,20,primary_cat
Fitness Matters,Learning center,Chandigarh,160022,Chandigarh,"First Floor, SCO 3013, near Malwa Tyres, Sector 22D, Sector 22, Chandigarh, 160022, India",+91 98880 28021,https://www.fitnessmatters.org/,4.8,241,False,"['Learning center', 'Charter school', 'Educational institution', 'Training center']",ChIJG4VtazTsDzkR_exD3qhDD20,30.7308806,76.7652234,49,title_keyword
Yogatube,Yoga studio,Chandigarh,160017,Chandigarh,"Sector 51A, Sector 51, Chandigarh, 160017, India",+91 98726 30077,,,,False,['Yoga studio'],ChIJMQ5u9G7tDzkR488eNBgzAOY,30.7078382,76.7428481,1,primary_cat
Sweat N Shape Fitness Studio,Fitness center,Chandigarh,160023,Chandigarh,"house no. 3164, sector 23D, Sector 23, Chandigarh, 160023, India",+91 98888 80187,https://www.sweatnshape.wordpress.com/,4.6,49,False,['Fitness center'],ChIJcZR48ELtDzkReQHqMR1S2N0,30.7383706,76.7646068,0,primary_cat
Reborn Fitness,Fitness center,"Ludhiana, Chandigarh",160043,Punjab,"SCO NO 40, 41 Sector 39, Chandigarh Rd, opposite Sikh Missionary Road, Sector 44D, Sector 44, Ludhiana, Chandigarh, Punjab 160043, India",+91 80540 60777,,5,11,False,['Fitness center'],ChIJW0ogubftDzkR1aeTPsMwTwk,30.709812,76.7480641,4,primary_cat
New Horizon Fitness Zone,Fitness center,Sahibzada Ajit Singh Nagar,160055,Punjab,"458, Phase 6, Sector 56, Sahibzada Ajit Singh Nagar, Punjab 160055, India",+91 81120 60050,https://newhorizonfitnesszone.my.canva.site/,5,13,False,['Fitness center'],ChIJPzCP503vDzkRCYYGlsT_ZxI,30.7357882,76.7149679,39,primary_cat
Reflex Gym,Gym,Chandigarh,160043,Chandigarh,"inside Shri Chaitanya School, Sector 44 B, 44B, Sector 44, Chandigarh, 160043, India",+91 86993 49645,https://reflexgym44.com/,4.6,117,False,['Gym'],ChIJq6rmAUrsDzkR56AKjKXbRfk,30.713495,76.7565646,38,primary_cat
Rock 'n' Roll Dance Modeling Acting Academy Chandigarh,Dance school,Chandigarh,160022,Chandigarh,"Sco 288 First Floor, above Raymond showroom, Market 35 D, Sector 35D, Sector 35, Chandigarh, 160022, India",+91 98889 99989,https://www.rocknrollchandigarh.com/,5,85,False,"['Dance school', 'Ballet school', 'Fitness center', 'Guitar instructor', 'Modeling agency', 'Salsa classes', 'Vocal instructor', 'Wedding service', 'Yoga instructor', 'Yoga studio']",ChIJVcBik6DtDzkRCADIvAj5E1I,30.7267155,76.7577877,40,secondary_cat
VZN Fitness,Gym,Chandigarh,160030,Chandigarh,"SCO-69, Sector-31C, Sector 31, Chandigarh, 160030, India",+91 85568 64571,https://vznfitness.com/,4.9,101,False,"['Gym', 'Dance hall', 'Fitness center', 'Yoga studio']",ChIJ-asrwiHtDzkR6lrT9XHVwiY,30.7023018,76.7813783,91,primary_cat
Octane Fitness Sector 32,Gym,Chandigarh,160030,Chandigarh,"S.C.O, 282, Sector 32D, Sector 32, Chandigarh, 160030, India",+91 76969 96879,,4.8,441,False,"['Gym', 'Fitness center']",ChIJi_tHqHXtDzkRWjdrauxw5aM,30.7089962,76.7740729,74,primary_cat
"Pro Ultimate Gyms - Sector 32, Chandigarh",Gym,Chandigarh,160030,Chandigarh,"SCO 66-67, Floor, 1-2, C-D, Sector 32, Chandigarh, 160030, India",+91 99272 00032,https://proultimategyms.in/,4.8,725,False,['Gym'],ChIJlYXLAjPtDzkR6CQhVzLHK4g,30.7074775,76.7754713,65,primary_cat
Pro Ultimate Gyms Sector 34A Chandigarh,Gym,Chandigarh,160022,Chandigarh,"third floor, SCO 358&359, Sector 34A, Sector 34, Chandigarh, 160022, India",+91 98885 10034,https://proultimate.com/,4.8,194,False,['Gym'],ChIJmZ_t5dTtDzkR5tCWwNyRAGc,30.7221196,76.7675366,49,primary_cat
Vault By Virat Kohli Chandigarh,Fitness center,Chandigarh,160009,Chandigarh,"SCO 156-160, Sector 8C, Sector 8, Chandigarh, 160009, India",+91 97790 01444,https://www.vaultbyviratkohli.com/,4.8,114,False,['Fitness center'],ChIJg8e_I7jtDzkRWtukgY4MMTE,30.7361485,76.7957064,51,primary_cat
The Healing Cosmos,Yoga studio,Chandigarh,160036,Chandigarh,"first floor, SCO-68, Sector 40C, Sector 40D, Chandigarh, 160036, India",+91 98739 17533,,5,35,False,"['Yoga studio', 'Counselor', 'Life coach', 'Meditation center', 'Numerologist', 'Reiki therapist', 'Yoga instructor', 'Wellness center']",ChIJly5t1CjvDzkRcKE_jZ6SVRo,30.7339734,76.7329396,43,primary_cat
